,problems,best_algorithms
0,C1-DTLZ1,NSGA2_3 AGE_3 SPEA2_3
1,C1-DTLZ3,CTAEA_3
2,C2-DTLZ2,MOEAD_3 CTAEA_3 NSDER_3 GDE3_3 NSDE_3 NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
3,C3-DTLZ1,NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
4,C3-DTLZ4,SPEA2_3 AGE_3
5,Convex-C2-DTLZ2,GDE3_3
6,CF1,MOEAD_3
7,CF2,MOEAD_3 CTAEA_3 NSDER_3 GDE3_3 NSDE_3 NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
8,CF3,MOEAD_3 NSDE_3 CTAEA_3 GDE3_3 NSDER_3 NSGA3_3
9,CF4,MOEAD_3
10,CF5,NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
11,CF6,NSGA2_3 NSGA3_3 MOEAD_3 CTAEA_3 AGE_3 SPEA2_3 GDE3_3 NSDE_3 NSDER_3
12,CF7,NSDER_3 NSDE_3 CTAEA_3 GDE3_3 NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
13,DAS-CMOP1,MOEAD_3 NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
14,DAS-CMOP2,SPEA2_3 NSGA2_3 MOEAD_3
15,DAS-CMOP3,MOEAD_3 NSDE_3 NSDER_3 GDE3_3 NSGA2_3 NSGA3_3
16,DAS-CMOP4,NSGA2_3 AGE_3 SPEA2_3
17,DAS-CMOP5,NSGA2_3 SPEA2_3
18,DAS-CMOP6,AGE_3 NSGA3_3 CTAEA_3 NSGA2_3 SPEA2_3
19,DC1-DTLZ1,GDE3_3
20,DC1-DTLZ3,GDE3_3
21,DC2-DTLZ1,GDE3_3 NSDE_3 NSDER_3
22,DC2-DTLZ3,GDE3_3 NSDE_3 NSDER_3
23,DC3-DTLZ1,GDE3_3 NSDE_3
24,DC3-DTLZ3,GDE3_3
25,CTP1,MOEAD_3 CTAEA_3
26,CTP2,NSGA2_3 MOEAD_3
27,CTP3,NSGA2_3 MOEAD_3 CTAEA_3
28,CTP4,NSGA2_3 CTAEA_3
29,CTP5,NSGA2_3 MOEAD_3 CTAEA_3
30,CTP6,CTAEA_3 NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
31,CTP7,MOEAD_3 CTAEA_3 NSGA2_3 AGE_3 SPEA2_3 NSGA3_3
32,CTP8,CTAEA_3
33,MW1,GDE3_3 NSGA3_3 MOEAD_3 AGE_3
34,MW2,GDE3_3 NSGA3_3 CTAEA_3 AGE_3
35,MW3,AGE_3 SPEA2_3 NSGA3_3
36,MW5,GDE3_3 SPEA2_3
37,MW6,GDE3_3 NSGA3_3 SPEA2_3 CTAEA_3
38,MW7,AGE_3 SPEA2_3 NSGA3_3
39,MW9,CTAEA_3
40,MW10,GDE3_3 AGE_3 SPEA2_3 CTAEA_3
41,MW11,GDE3_3 MOEAD_3 CTAEA_3
42,MW12,AGE_3 SPEA2_3
43,MW13,CTAEA_3
44,MW4,GDE3_3 AGE_3
45,MW8,GDE3_3 AGE_3 NSGA3_3
46,MW14,AGE_3 NSGA3_3 SPEA2_3 GDE3_3
47,NCTP1,MOEAD_3 CTAEA_3
48,NCTP2,MOEAD_3 CTAEA_3
49,NCTP3,MOEAD_3 CTAEA_3
50,NCTP4,MOEAD_3 CTAEA_3
51,NCTP5,MOEAD_3
52,NCTP6,MOEAD_3
53,NCTP7,MOEAD_3
54,NCTP8,MOEAD_3
55,NCTP9,MOEAD_3
56,NCTP10,MOEAD_3
57,NCTP11,MOEAD_3
58,NCTP12,MOEAD_3
59,NCTP13,MOEAD_3
60,NCTP14,MOEAD_3
61,NCTP15,MOEAD_3
62,NCTP16,MOEAD_3
63,NCTP17,MOEAD_3
64,NCTP18,NSGA3_3 CTAEA_3 GDE3_3
